Without optimisation,GL_NORMALIZE,Tex_smooth,Light_smooth,Arrays,gl_hint,disp_list,Screen size
0.128473,0.127947,0.126525,0.132114,0.124566,0.128169,0.011411,0.129744
0.127799,0.124197,0.128612,0.125177,0.128764,0.128893,0.01193,0.129004
0.130067,0.134692,0.125658,0.128193,0.131881,0.128985,0.01109,0.130389
0.137348,0.12951,0.128321,0.130322,0.128286,0.12807,0.01156,0.124276
0.126635,0.127976,0.129166,0.131648,0.131597,0.129452,0.011494,0.127509
0.129895,0.128813,0.127786,0.126221,0.132877,0.130619,0.011519,0.126496
0.144116,0.125773,0.128997,0.131205,0.131978,0.128651,0.011427,0.13049
0.12616,0.127822,0.129793,0.131817,0.12684,0.125696,0.011865,0.127572
0.12585,0.126929,0.131562,0.128562,0.126229,0.124519,0.011555,0.129737
0.125674,0.125077,0.135952,0.126623,0.127176,0.123853,0.011593,0.135722
0.1302017,0.1278736,0.1292372,0.1291882,0.1290194,0.1276907,0.0115444,0.1290939
avg_time = 0.1302017,avg_time = 0.1278736,avg_time = 0.1292372,avg_time = 0.1291882,avg_time = 0.1290194,avg_time = 0.1276907,avg_time = 0.0115444,avg_time = 0.1290939
